Available_bike_stands,StationID,Hour,Weekday,past_available_bike_stands,Total_Available_bike_stands,Temp,Weather(Rain),Wind_Speed
18.6667,2,9,6,11.0,1237.3333,6.98,0,11.3
20.0,2,10,6,18.6667,1230.0,7.69,1,10.8
16.1667,2,11,6,20.0,1190.8333,7.97,0,10.8
16.1667,2,12,6,16.1667,1180.1667,8.32,1,12.3
19.1667,2,13,6,16.1667,1175.6667,7.94,0,11.3
19.6667,2,14,6,19.1667,1186.0,7.51,1,7.7
18.8333,2,15,6,19.6667,1167.0,7.5,0,8.7
14.3333,2,16,6,18.8333,1192.1667,6.96,1,5.7
14.1667,2,17,6,14.3333,1191.3333,6.79,0,5.1
16.8333,2,18,6,14.1667,1227.5,6.32,1,3.1
15.1667,2,19,6,16.8333,1232.0,5.69,1,2.6
13.6667,2,20,6,15.1667,1219.3333,5.23,1,2.1
10.5,2,21,6,13.6667,1253.0,4.77,1,3.1
11.8333,2,22,6,10.5,1250.3333,4.01,1,3.1
13.8333,2,23,6,11.8333,1248.0,3.35,1,3.1
12.0,2,1,7,12.1667,1275.3333,2.72,1,2.1
12.0,2,2,7,12.0,1282.1667,2.58,1,2.6
12.0,2,3,7,12.0,1271.5,2.21,1,1.5
12.0,2,4,7,12.0,1240.1667,2.31,1,4.1
12.0,2,5,7,12.0,1280.1667,2.68,1,3.1
12.0,2,6,7,12.0,1283.8333,3.13,1,7.2
11.1667,2,7,7,12.0,1249.1667,2.86,1,7.7
9.1667,2,8,7,11.1667,1250.6667,3.41,0,7.2
14.0,2,9,7,9.1667,1246.6667,4.57,0,6.7
18.5,2,10,7,14.0,1228.0,5.62,0,10.3
19.5,2,11,7,18.5,1197.3333,5.34,1,13.9
20.0,2,12,7,19.5,1193.0,5.21,0,12.9
20.0,2,13,7,20.0,1179.3333,5.15,1,7.2
19.6667,2,14,7,20.0,1204.1667,3.73,1,18.5
18.6667,2,15,7,19.6667,1205.3333,3.35,1,9.8
16.5,2,16,7,18.6667,1207.5,3.71,1,7.2
17.5,2,17,7,16.5,1207.1667,2.63,1,7.7
18.5,2,18,7,17.5,1215.5,1.86,1,7.7
15.3333,2,19,7,18.5,1234.3333,1.86,1,6.7
18.3333,2,20,7,15.3333,1266.8333,1.51,1,7.7
17.1667,2,21,7,18.3333,1238.3333,1.51,1,7.7
15.5,2,22,7,17.1667,1248.6667,1.61,0,7.2
15.5,2,23,7,15.5,1244.5,1.27,1,7.7
15.0,2,1,1,15.0,1256.6667,1.17,1,6.2
15.0,2,2,1,15.0,1263.3333,1.27,1,7.2
15.0,2,3,1,15.0,1270.6667,1.36,1,6.7
12.5,2,4,1,15.0,1226.1667,1.14,0,6.7
15.0,2,5,1,12.5,1282.5,1.26,1,8.2
6.6667,2,6,1,15.0,1175.5,1.8,0,3.6
15.3333,2,7,1,6.6667,1065.8333,2.34,1,5.1
16.5,2,8,1,15.3333,959.6667,3.93,1,4.6
19.0,2,9,1,16.5,1088.6667,5.12,0,5.7
22.8333,2,10,1,19.0,1135.5,6.26,1,4.1
16.6667,2,11,1,22.8333,1173.6667,7.43,0,5.7
19.8333,2,12,1,16.6667,1122.1667,8.04,0,5.7
19.6667,2,13,1,19.8333,1089.5,8.13,1,6.2
17.0,2,14,1,19.6667,1164.1667,8.81,0,5.1
19.1667,2,15,1,17.0,1186.0,8.47,1,6.7
17.8333,2,16,1,19.1667,1089.0,8.62,0,7.7
13.5,2,17,1,17.8333,998.0,7.82,1,8.2
16.5,2,18,1,13.5,1105.1667,7.06,1,8.7
18.8333,2,19,1,16.5,1163.5,7.3,1,10.3
19.6667,2,20,1,18.8333,1204.8333,7.74,1,10.3
11.8333,2,21,1,19.6667,1211.1667,8.73,1,10.3
11.8333,2,22,1,11.8333,1239.8333,9.2,1,11.3
10.6667,2,23,1,11.8333,1234.8333,9.89,1,9.8
10.0,2,1,2,10.0,1235.6667,9.57,1,11.8
10.0,2,2,2,10.0,1273.8333,6.08,1,7.7
10.0,2,3,2,10.0,1272.6667,5.6,1,7.2
8.3333,2,4,2,10.0,1220.0,4.81,1,8.2
10.1667,2,5,2,8.3333,1270.1667,4.44,1,9.8
11.1667,2,6,2,10.1667,1190.5,4.25,1,6.2
17.1667,2,7,2,11.1667,1113.6667,3.92,1,5.7
20.0,2,8,2,17.1667,915.6667,3.93,1,4.1
19.6667,2,9,2,20.0,1108.0,4.2,1,6.7
14.1667,2,10,2,19.6667,1160.5,5.0,1,5.7
22.8333,2,11,2,14.1667,1190.0,6.91,1,6.7
16.1667,2,12,2,22.8333,1134.6667,6.33,1,5.7
18.1667,2,13,2,16.1667,1131.5,6.16,1,8.7
19.8333,2,14,2,18.1667,1202.0,7.21,1,9.8
18.6667,2,15,2,19.8333,1189.3333,7.22,1,10.3
19.5,2,16,2,18.6667,1127.0,6.87,1,12.3
19.0,2,17,2,19.5,1010.3333,6.58,0,10.8
12.5,2,18,2,19.0,1010.3333,5.96,1,12.9
5.6667,2,19,2,12.5,812.1667,5.72,1,10.8
10.1667,2,20,2,5.6667,1223.3333,5.98,1,10.8
7.0,2,21,2,10.1667,1254.8333,5.98,1,10.8
5.3333,2,22,2,7.0,1243.0,5.98,0,11.8
4.3333,2,23,2,5.3333,1301.3333,5.97,1,12.3
3.0,2,1,3,3.0,1284.6667,5.34,1,11.3
3.0,2,2,3,3.0,1285.5,5.75,1,11.8
3.0,2,3,3,3.0,1285.5,5.84,1,14.9
3.0,2,4,3,3.0,1237.3333,5.96,1,13.9
3.0,2,5,3,3.0,1297.5,5.89,1,14.4
6.1667,2,6,3,3.0,1248.0,5.7,0,15.4
14.5,2,7,3,6.1667,1139.6667,5.72,1,15.4
16.8333,2,8,3,14.5,976.0,6.18,1,12.3
20.0,2,9,3,16.8333,1100.6667,6.92,1,14.4
14.3333,2,10,3,20.0,1148.1667,8.25,0,12.9
11.0,2,11,3,14.3333,1183.8333,9.2,1,13.4
13.0,2,12,3,11.0,1125.8333,9.3,0,13.4
15.8333,2,13,3,13.0,1097.3333,9.21,1,12.3
16.1667,2,14,3,15.8333,1206.5,8.58,1,13.4
19.5,2,15,3,16.1667,1185.5,8.05,1,13.4
19.8333,2,16,3,19.5,1136.0,7.74,1,10.3
16.3333,2,17,3,19.8333,1020.5,7.43,1,6.2
16.6667,2,18,3,16.3333,1094.1667,7.13,1,8.2
16.5,2,19,3,16.6667,1193.5,7.13,1,5.7
16.5,2,20,3,16.5,1249.8333,7.47,1,7.7
14.0,2,21,3,16.5,1246.3333,7.86,1,7.7
10.8333,2,22,3,14.0,1279.6667,7.85,1,8.7
9.0,2,23,3,10.8333,1322.0,7.84,1,8.2
9.0,2,1,4,9.0,1315.5,8.32,1,8.7
9.0,2,2,4,9.0,1310.8333,8.96,1,9.8
9.0,2,3,4,9.0,1320.1667,9.26,1,10.3
9.0,2,4,4,9.0,1281.8333,9.57,1,10.3
9.6667,2,5,4,9.0,1308.5,9.86,1,13.9
10.3333,2,6,4,9.6667,1246.0,9.55,1,11.8
10.8333,2,7,4,10.3333,1146.1667,8.93,1,11.3
18.6667,2,8,4,10.8333,935.1667,9.16,1,10.3
16.8333,2,9,4,18.6667,1096.0,9.62,0,11.8
10.3333,2,10,4,16.8333,1193.1667,10.23,0,11.8
12.8333,2,11,4,10.3333,1178.3333,9.45,1,10.8
20.0,2,12,4,12.8333,1137.5,10.7,0,10.8
20.0,2,13,4,20.0,1118.3333,10.24,1,11.3
16.5,2,14,4,20.0,1214.1667,10.16,0,10.8
17.8333,2,15,4,16.5,1193.1667,10.1,0,10.8
17.8333,2,16,4,17.8333,1121.6667,9.88,0,10.3
19.8333,2,17,4,17.8333,1022.6667,9.13,0,8.7
18.6667,2,18,4,19.8333,1078.5,8.39,1,9.8
17.0,2,19,4,18.6667,1154.1667,7.86,1,4.1
14.5,2,20,4,17.0,1231.1667,7.49,1,3.6
8.6667,2,21,4,14.5,1250.0,9.03,1,3.1
5.6667,2,22,4,8.6667,1257.0,10.06,1,2.6
5.0,2,23,4,5.6667,1275.8333,11.07,1,8.2
5.0,2,1,5,5.5,1300.5,11.07,1,10.8
5.0,2,2,5,5.0,1301.1667,10.95,1,11.8
5.0,2,3,5,5.0,1311.8333,11.06,1,12.3
4.1667,2,4,5,5.0,1251.8333,10.42,1,12.9
5.5,2,5,5,4.1667,1284.0,9.47,1,10.8
9.6667,2,6,5,5.5,1232.8333,8.74,1,11.8
10.3333,2,7,5,9.6667,1162.8333,8.32,1,10.3
18.3333,2,8,5,10.3333,997.1667,8.42,0,7.2
19.8333,2,9,5,18.3333,1152.0,9.09,0,9.3
20.0,2,10,5,19.8333,1207.5,9.72,1,11.3
19.8333,2,11,5,20.0,1226.5,9.75,0,14.9
19.8333,2,12,5,19.8333,1117.3333,10.19,0,12.9
19.8333,2,13,5,19.8333,1132.0,9.88,1,13.9
19.5,2,14,5,19.8333,1190.6667,9.92,1,10.3
19.3333,2,15,5,19.5,1177.3333,9.35,1,12.3
18.8333,2,16,5,19.3333,1122.6667,8.61,1,9.8
18.5,2,17,5,18.8333,1063.5,8.38,0,5.1
11.0,2,18,5,18.5,1174.3333,7.69,1,5.7
6.8333,2,19,5,11.0,1194.5,6.96,1,2.6
10.6667,2,20,5,6.8333,1243.5,6.67,1,3.6
13.5,2,21,5,10.6667,1275.6667,5.84,1,2.6
13.1667,2,22,5,13.5,1310.5,5.42,1,2.6
14.5,2,23,5,13.1667,1286.8333,5.34,1,2.6
15.0,2,1,6,14.6667,1323.8333,8.78,1,3.1
15.0,2,2,6,15.0,1320.0,10.45,1,6.2
15.0,2,3,6,15.0,1335.1667,10.84,1,7.2
15.0,2,4,6,15.0,1275.6667,10.84,1,7.2
16.8333,2,5,6,15.0,1340.8333,10.61,1,8.7
13.8333,2,6,6,16.8333,1297.1667,10.34,1,8.7
19.3333,2,7,6,13.8333,1303.0,10.34,1,9.8
20.0,2,8,6,19.3333,1282.1667,10.95,1,9.8
20.0,2,9,6,20.0,1265.1667,11.06,1,9.8
19.6667,2,10,6,20.0,1292.0,11.28,1,9.3
13.6667,2,11,6,19.6667,1277.8333,11.06,1,8.7
1.6667,2,12,6,13.6667,1233.0,10.6,1,7.7
5.3333,2,13,6,1.6667,1253.8333,9.19,1,8.7
9.3333,2,14,6,5.3333,1242.5,7.16,1,12.9
17.1667,2,15,6,9.3333,1274.1667,6.77,0,11.3
16.5,2,16,6,17.1667,1260.8333,6.18,1,8.7
13.0,2,17,6,16.5,1266.6667,5.81,1,8.7
16.8333,2,18,6,13.0,1268.1667,4.9,0,8.2
19.6667,2,19,6,16.8333,1278.0,4.2,0,6.7
19.8333,2,20,6,19.6667,1293.1667,2.94,1,5.7
19.0,2,21,6,19.8333,1293.8333,2.87,0,7.2
15.8333,2,22,6,19.0,1299.3333,2.78,0,7.2
13.6667,2,23,6,15.8333,1298.6667,2.25,0,7.7
14.0,2,1,7,14.1667,1325.3333,1.96,0,8.2
14.0,2,2,7,14.0,1326.0,1.96,1,6.2
14.0,2,3,7,14.0,1331.0,1.43,0,5.7
11.6667,2,4,7,14.0,1286.0,1.08,0,7.7
14.0,2,5,7,11.6667,1329.6667,1.07,0,7.2
14.0,2,6,7,14.0,1322.3333,1.26,1,5.7
15.5,2,7,7,14.0,1287.0,1.75,0,5.1
16.6667,2,8,7,15.5,1296.3333,3.27,0,6.2
18.0,2,9,7,16.6667,1274.6667,4.63,0,6.7
16.3333,2,10,7,18.0,1285.6667,5.29,1,11.3
15.6667,2,11,7,16.3333,1250.0,6.22,1,11.8
17.3333,2,12,7,15.6667,1243.6667,8.31,0,11.8
19.0,2,13,7,17.3333,1240.1667,9.49,0,10.3
18.1667,2,14,7,19.0,1195.0,9.93,0,8.7
19.8333,2,15,7,18.1667,1139.1667,9.69,1,11.3
18.0,2,16,7,19.8333,1123.6667,9.31,1,10.3
18.5,2,17,7,18.0,1113.5,7.65,1,10.3
19.6667,2,18,7,18.5,1102.8333,7.3,0,5.1
19.6667,2,19,7,19.6667,1111.5,6.24,1,7.7
18.5,2,20,7,19.6667,1123.8333,5.21,0,6.7
15.0,2,21,7,18.5,1099.8333,5.11,0,8.2
16.3333,2,22,7,15.0,1072.1667,4.68,0,6.2
16.0,2,23,7,16.3333,1085.0,4.49,0,7.2
15.0,2,1,1,15.0,1311.5,4.91,0,6.7
15.0,2,2,1,15.0,1292.5,4.91,0,4.1
15.0,2,3,1,15.0,1306.8333,5.0,1,6.2
12.5,2,4,1,15.0,1255.3333,5.0,1,4.6
15.0,2,5,1,12.5,1296.3333,5.0,1,4.6
15.5,2,6,1,15.0,1271.3333,5.0,1,4.1
17.5,2,7,1,15.5,1278.1667,5.21,1,4.6
19.3333,2,8,1,17.5,1259.5,6.2,0,4.1
20.0,2,9,1,19.3333,1265.8333,6.76,1,5.7
16.6667,2,10,1,20.0,1253.3333,7.81,0,5.7
19.6667,2,11,1,16.6667,1241.0,9.08,1,7.7
19.6667,2,12,1,19.6667,1206.5,9.3,0,7.2
20.0,2,13,1,19.6667,1203.6667,9.69,0,8.2
19.8333,2,14,1,20.0,1202.0,10.07,0,8.2
19.1667,2,15,1,19.8333,1192.6667,9.96,0,8.7
16.6667,2,16,1,19.1667,1199.1667,9.88,0,6.7
17.3333,2,17,1,16.6667,1208.3333,9.54,0,7.7
16.3333,2,18,1,17.3333,1176.1667,8.93,0,6.7
14.3333,2,19,1,16.3333,1232.5,8.62,1,4.1
12.8333,2,20,1,14.3333,1217.5,8.61,0,4.6
10.0,2,21,1,12.8333,1241.3333,8.5,1,4.6
10.8333,2,22,1,10.0,1242.3333,8.42,1,5.1
10.1667,2,23,1,10.8333,1246.5,8.09,1,5.7
10.0,2,1,2,10.1667,1255.0,7.24,0,4.1
10.0,2,2,2,10.0,1270.8333,7.27,0,3.1
10.0,2,3,2,10.0,1268.8333,6.79,0,4.1
8.3333,2,4,2,10.0,1236.0,6.49,0,5.1
10.3333,2,5,2,8.3333,1246.0,5.96,0,3.6
16.5,2,6,2,10.3333,1200.8333,6.87,1,3.1
20.0,2,7,2,16.5,1123.8333,6.79,1,3.6
16.6667,2,8,2,20.0,990.1667,7.44,1,3.1
20.0,2,9,2,16.6667,1136.8333,8.74,1,2.6
19.8333,2,10,2,20.0,1180.3333,9.64,0,3.1
20.0,2,11,2,19.8333,1209.0,11.03,0,5.7
20.0,2,12,2,20.0,1149.3333,12.34,0,5.1
19.0,2,13,2,20.0,1119.1667,12.44,1,7.2
19.3333,2,14,2,19.0,1222.8333,12.43,0,5.1
19.0,2,15,2,19.3333,1217.3333,13.27,0,5.7
19.1667,2,16,2,19.0,1142.6667,13.02,0,3.6
17.8333,2,17,2,19.1667,995.0,13.01,0,3.6
15.3333,2,18,2,17.8333,1098.0,11.77,0,4.1
16.1667,2,19,2,15.3333,1174.6667,9.92,0,5.1
18.6667,2,20,2,16.1667,1222.8333,9.9,0,4.1
14.6667,2,21,2,18.6667,1260.8333,10.05,0,4.1
14.1667,2,22,2,14.6667,1269.0,9.97,0,3.6
14.1667,2,23,2,14.1667,1278.8333,9.88,0,4.1
12.0,2,1,3,12.5,1303.5,8.24,0,4.6
10.0,2,2,3,12.0,1301.3333,8.02,0,3.6
12.0,2,3,3,10.0,1275.6667,8.5,0,4.1
12.0,2,4,3,12.0,1261.6667,8.1,0,4.1
12.1667,2,5,3,12.0,1286.0,7.86,0,3.1
18.1667,2,6,3,12.1667,1242.0,7.81,0,3.1
19.8333,2,7,3,18.1667,1125.1667,8.57,0,1.0
19.8333,2,8,3,19.8333,921.8333,10.25,0,1.5
20.0,2,9,3,19.8333,1113.5,11.84,0,2.6
19.3333,2,10,3,20.0,1168.3333,14.8,0,4.1
19.3333,2,11,3,19.3333,1182.0,15.58,0,3.6
17.3333,2,12,3,19.3333,1117.6667,15.89,0,4.6
18.6667,2,13,3,17.3333,1114.8333,15.94,0,4.1
16.5,2,14,3,18.6667,1207.1667,15.03,0,4.1
20.0,2,15,3,16.5,1212.3333,15.18,0,4.6
18.8333,2,16,3,20.0,1144.1667,14.99,0,3.6
19.0,2,17,3,18.8333,1006.3333,14.35,1,3.6
